id,ra,dec,dist,dist84,dist16,x,y,z,g,bp,rp,class,xtime,seto,SN,xtime_err
822499435619553536,152.43735008330276,47.17148331924421,84.54633,84.64066,84.45958,-50.234478069844045,9.310975571217071,67.34395916768939,10.631212,11.095249,10.005059,SOLAR_LIKE,2457606.153927743,False,1604,0.295308
3200090904306268288,69.63417083908644,-6.460703580531977,67.68294,67.76664,67.5784,-52.73502648722115,-22.17026721169837,-36.13400742308505,12.117996,13.02148,11.175342,SOLAR_LIKE,2457272.684027587,False,1604,0.30697846
3204088453707307904,64.03486001718939,-3.5546649946703703,67.70949,67.78092,67.628685,-52.73523665720495,-15.543017431735933,-39.48638221578912,13.961031,15.331564,12.807296,SOLAR_LIKE,2457155.245152916,False,1604,0.24826524
1854648693258243712,318.68637863186007,32.351354242005044,163.36081,163.80597,163.0092,31.538475480386296,157.0430625058723,-32.11283826269242,13.578613,14.357199,12.716274,SOLAR_LIKE,2457431.820199688,False,1604,1.2993551
2346365239673368832,13.91463879146947,-22.280600181290144,106.63028,106.87653,106.38561,-6.664868027948614,6.5690196056666394,-106.21717515855043,13.796166,14.788085,12.809842,SOLAR_LIKE,2457534.899826135,False,1604,0.8005851
2559311161317781760,21.085816172372805,2.3760842931900426,86.08739,86.246155,85.92443,-33.3220429077719,28.555384982094672,-74.05061755514464,12.711355,13.65813,11.749248,SOLAR_LIKE,2457384.9567934927,False,1604,0.5246616
1952048071804338176,322.514062432633,36.72379368001118,146.92169,147.21259,146.58173,14.91952005292842,143.67547386232567,-26.86156549718312,14.3113365,15.3007765,13.327019,SOLAR_LIKE,2457480.2912085005,False,1604,1.028794
1148710688606518656,115.21890075760398,82.26788486144207,85.65023,85.765236,85.526054,-49.768582431282994,56.334016652855965,41.02288348461042,13.684507,14.713277,12.677648,SOLAR_LIKE,2457681.1569928206,False,1604,0.39005288
756896318433312384,168.1929689643658,30.948564994319042,99.966095,100.288155,99.69606,-35.3265928806004,-10.867260837128988,92.87234326410415,13.539305,14.580682,12.526457,SOLAR_LIKE,2457183.03119806,False,1604,0.9655769
5194753083267093120,113.80141956083406,-82.2513192610503,165.91048,166.33034,165.46729,62.003311223945275,-136.36538068397692,-71.34185790778761,12.48871,13.052614,11.771057,SOLAR_LIKE,2457374.422178167,False,1604,1.4074502
763968136705174272,170.7295206128668,37.854330113169276,99.95774,100.10407,99.83264,-36.24409086060041,1.6761095855192707,93.12988309986936,13.355644,14.371978,12.357179,SOLAR_LIKE,2457052.1516012833,False,1604,0.44264472
